PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 166_0,HD 166,1.592,0.09,1.08,2.182,13.766,0.94,0.647,0.085,204.145,1.727,0.779,1,1,1,2035.0
HD 166_1,HD 166,0.635,0.021,0.515,0.062,13.766,0.94,0.647,0.02,192.168,0.644,0.009,0,0,1,2035.0
HD 216803_1,HD 216803,3.539,0.087,2.035,5.879,7.601,0.72,0.196,0.46,194.555,3.824,0.548,1,1,1,2035.0
HD 216803_3,HD 216803,0.104,0.044,0.893,0.284,7.601,0.72,0.196,0.013,23.557,0.1,0.276,0,0,1,2035.0
HD 216803_4,HD 216803,2.738,0.038,2.631,12.08,7.601,0.72,0.196,0.089,1.231,2.776,0.972,1,1,1,2035.0
HD 216803_5,HD 216803,0.109,0.06,0.686,0.431,7.601,0.72,0.196,0.013,140.271,0.108,0.573,0,0,1,2035.0
HD 216803_6,HD 216803,0.431,0.071,1.431,2.693,7.601,0.72,0.196,0.05,17.635,0.404,0.516,1,1,1,2035.0
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.061,197.916,0.75,0.655,1,1,1,2035.0
HD 10780_3,HD 10780,2.25,0.098,1.348,1.367,10.041,0.9,0.516,0.129,67.943,2.226,0.838,1,1,1,2035.0
HD 10780_4,HD 10780,2.669,0.102,2.513,12.001,10.041,0.9,0.516,0.239,199.146,2.406,0.295,1,1,1,2035.0
HD 156274 A_3,HD 156274 A,4.433,0.138,1.608,3.519,8.791,0.9,0.452,0.544,119.05,4.833,0.25,0,0,1,2035.0
HD 88230_0,HD 88230,1.858,0.024,1.413,3.961,4.871,0.63,0.103,0.273,201.008,1.827,0.74,1,1,1,2035.0
HD 88230_1,HD 88230,0.369,0.102,2.613,14.391,4.871,0.63,0.103,0.033,351.716,0.405,0.007,0,0,1,2035.0
HD 88230_2,HD 88230,0.941,0.058,0.511,0.079,4.871,0.63,0.103,0.192,167.346,0.994,0.507,0,0,1,2035.0
HD 88230_3,HD 88230,1.397,0.055,1.541,3.057,4.871,0.63,0.103,0.218,119.235,1.472,0.746,1,1,1,2035.0
HD 88230_4,HD 88230,0.683,0.12,0.831,0.221,4.871,0.63,0.103,0.08,296.998,0.764,0.016,0,0,1,2035.0
HD 88230_5,HD 88230,2.552,0.09,1.594,2.912,4.871,0.63,0.103,0.461,355.789,2.74,0.658,1,1,1,2035.0
HD 88230_6,HD 88230,2.842,0.103,0.661,0.567,4.871,0.63,0.103,0.374,22.543,2.926,0.031,0,0,1,2035.0
HD 32147_1,HD 32147,0.121,0.122,1.044,1.526,8.844,0.75,0.29,0.015,108.959,0.132,0.243,0,0,1,2035.0
HD 32147_2,HD 32147,3.272,0.062,1.942,2.786,8.844,0.75,0.29,0.386,42.134,3.475,0.418,0,0,1,2035.0
HD 37394_0,HD 37394,1.839,0.051,0.552,0.164,12.27,0.88,0.478,0.069,305.937,1.91,0.906,0,0,1,2035.0
HD 37394_1,HD 37394,0.501,0.058,1.934,5.969,12.27,0.88,0.478,0.037,253.704,0.516,0.587,0,0,1,2035.0
HD 37394_3,HD 37394,1.245,0.044,1.502,2.038,12.27,0.88,0.478,0.078,21.413,1.216,0.074,0,0,1,2035.0
HD 37394_5,HD 37394,0.152,0.102,1.111,1.488,12.27,0.88,0.478,0.008,279.013,0.144,0.045,0,0,1,2035.0
HD 37394_9,HD 37394,0.863,0.077,0.726,0.552,12.27,0.88,0.478,0.038,170.745,0.799,0.833,0,0,1,2035.0
HD 37394_10,HD 37394,0.093,0.059,3.205,15.21,12.27,0.88,0.478,0.006,109.58,0.088,0.131,0,0,1,2035.0
HD 37394_11,HD 37394,1.171,0.065,2.415,5.91,12.27,0.88,0.478,0.093,299.325,1.194,0.192,1,1,1,2035.0
HD 37394_15,HD 37394,0.222,0.142,1.093,0.563,12.27,0.88,0.478,0.018,115.785,0.222,0.442,0,0,1,2035.0
HD 37394_16,HD 37394,2.623,0.055,2.621,9.008,12.27,0.88,0.478,0.194,288.342,2.587,0.535,1,1,1,2035.0
HD 156026_0,HD 156026,3.18,0.093,3.171,14.895,5.954,0.68,0.158,0.548,178.331,3.269,0.346,1,1,1,2035.0
HD 156026_1,HD 156026,0.564,0.081,0.509,0.042,5.954,0.68,0.158,0.067,188.51,0.562,0.756,1,1,1,2035.0
HD 156026_2,HD 156026,0.423,0.044,0.607,0.379,5.954,0.68,0.158,0.057,264.121,0.416,0.669,1,1,1,2035.0
HD 156026_3,HD 156026,1.001,0.06,2.318,7.224,5.954,0.68,0.158,0.113,257.18,0.991,0.777,1,1,1,2035.0
